mean,single-thread,110
median,single-thread,116
fast-median,single-thread,111
fast-median,multithread,52
median,multithread,56
mean,multithread,53
mean,cloud,151
median,cloud,173
fast-median,cloud,163
fast-median,local,174
median,local,177
mean,local,170
mean,single-thread,102
median,single-thread,106
fast-median,single-thread,1171
mean,single-thread,110
median,single-thread,120
fast-median,single-thread,119
mean,multithread,55
median,multithread,67
fast-median,multithread,55
mean,single-thread,115
median,single-thread,116
fast-median,single-thread,112
mean,multithread,57
median,multithread,59
fast-median,multithread,289
mean,local,179
median,local,173
fast-median,local,171
mean,cloud,155
